date,open,high,low,close,volume
1999-04-13,0.3923,0.3923,0.3636,0.3695,3614400
1999-04-14,0.3684,0.3768,0.3588,0.3588,4828800
1999-04-15,0.3684,0.3684,0.3588,0.3684,3585600
1999-04-16,0.3661,0.3864,0.3661,0.3804,3892800
1999-04-19,0.3852,0.3852,0.3588,0.3636,3129600
1999-04-20,0.3636,0.3780,0.3529,0.3565,6768000
1999-04-21,0.3565,0.3636,0.3540,0.3624,3748800
1999-04-22,0.3636,0.3636,0.3433,0.3469,22718400
1999-04-23,0.3456,0.3469,0.3278,0.3301,12604800
1999-04-26,0.3301,0.3349,0.3062,0.3135,12350400
1999-04-27,0.3205,0.3492,0.3158,0.3469,22694400
1999-04-28,0.3492,0.3492,0.3337,0.3445,12009600
1999-04-29,0.3456,0.3469,0.3374,0.3445,4814400
1999-04-30,0.3481,0.3636,0.3456,0.3492,9931200
1999-05-03,0.3529,0.3529,0.3422,0.3517,3384000
1999-05-04,0.3517,0.3517,0.3253,0.3326,9604800
1999-05-05,0.3349,0.3397,0.3158,0.3397,14457600
1999-05-06,0.3374,0.3445,0.3230,0.3332,3561600
1999-05-07,0.3230,0.3374,0.3230,0.3349,2500800
1999-05-10,0.3326,0.3422,0.3326,0.3349,1968000
1999-05-11,0.3492,0.3636,0.3422,0.3529,17174400
1999-05-12,0.3565,0.3647,0.3517,0.3636,16848000
1999-05-13,0.3636,0.3732,0.3624,0.3636,6993600
1999-05-14,0.3636,0.3636,0.3397,0.3445,2846400
1999-05-17,0.3397,0.3613,0.3385,0.3613,3576000
1999-05-18,0.3647,0.3827,0.3540,0.3780,15153600
1999-05-19,0.3948,0.4091,0.3552,0.3613,45172800
1999-05-20,0.3636,0.3636,0.3194,0.3326,17817600
1999-05-21,0.3278,0.3278,0.3158,0.3253,30350400
1999-05-24,0.3278,0.3349,0.3194,0.3242,16262400
1999-05-25,0.3253,0.3301,0.3230,0.3265,13008000
1999-05-26,0.3253,0.3422,0.3253,0.3253,10473600
1999-05-27,0.3278,0.3278,0.3230,0.3230,8232000
1999-05-28,0.3278,0.3278,0.3230,0.3265,8865600
1999-06-01,0.3253,0.3278,0.3205,0.3278,9854400
1999-06-02,0.3278,0.3278,0.3158,0.3158,13012800
1999-06-03,0.3242,0.3265,0.3205,0.3242,4156800
1999-06-04,0.3265,0.3278,0.3242,0.3265,7891200
1999-06-07,0.3284,0.3349,0.3278,0.3301,12513600
1999-06-08,0.3313,0.3445,0.3301,0.3385,15331200
1999-06-09,0.3397,0.3517,0.3397,0.3445,9518400
1999-06-10,0.3445,0.3469,0.3422,0.3456,3609600
